iter	Logloss
0	0.6168225783
1	0.559216038
2	0.5097009407
3	0.4732454228
4	0.4463904954
5	0.4259883875
6	0.4095429473
7	0.3940039385
8	0.3820506206
9	0.3722256303
10	0.3635747216
11	0.35724207
12	0.3527977799
13	0.3478955421
14	0.3429178399
15	0.3382178553
16	0.3361771072
17	0.33380199
18	0.3315172275
19	0.3286799975
20	0.3266910709
21	0.3241389789
22	0.3222123662
23	0.3213080704
24	0.3198927699
25	0.3178369963
26	0.3168937654
27	0.3160347379
28	0.3153684467
29	0.3144251152
30	0.3125502299
31	0.310990413
32	0.3096815506
33	0.3091691569
34	0.308039148
35	0.3073230884
36	0.3064446992
37	0.3056945881
38	0.304931199
39	0.3041163218
40	0.3035517712
41	0.3029411417
42	0.3025204143
43	0.3018062242
44	0.3014197009
45	0.3011456103
46	0.3009820532
47	0.3007684652
48	0.3001760154
49	0.2997170247
50	0.2992349686
51	0.2988453158
52	0.2985194932
53	0.2982214337
54	0.2979343625
55	0.2974268467
56	0.2969540492
57	0.2967595847
58	0.2963851306
59	0.2961972222
60	0.2958044329
61	0.2955320789
62	0.2949500331
63	0.2944839389
64	0.2941862025
65	0.2939364877
66	0.2936996168
67	0.2931306245
68	0.2929674605
69	0.2927663907
70	0.2925114538
71	0.2923177724
72	0.2920638041
73	0.2918302228
74	0.2916868483
75	0.2914665783
76	0.2908291555
77	0.2906178143
78	0.2901483792
79	0.2899080602
80	0.289590927
81	0.2894114289
82	0.2892977141
83	0.2891671064
84	0.289000379
85	0.2887494409
86	0.2885958414
87	0.2884166603
88	0.288318611
89	0.2882262609
90	0.2880090907
91	0.2879102517
92	0.2878212261
93	0.2877472868
94	0.287290212
95	0.2866866558
96	0.2863539644
97	0.286162605
98	0.2860011281
99	0.2857105148
100	0.2855952134
101	0.2853829856
102	0.285345072
103	0.2852360783
104	0.2850861179
105	0.2849938334
106	0.2848564497
107	0.2847582913
108	0.2847010511
109	0.2846432059
110	0.2845052622
111	0.2844217595
112	0.2842652099
113	0.2836521599
114	0.2836224262
115	0.2835000123
116	0.2833068332
117	0.2832110419
118	0.2830938711
119	0.2829848387
120	0.2828228657
121	0.2825868441
122	0.2824520641
123	0.2823958792
124	0.2822985624
125	0.2821747186
126	0.2820198063
127	0.2820007559
128	0.2818463889
129	0.2816380965
130	0.2815658435
131	0.2810047073
132	0.2808075018
133	0.2806769843
134	0.2805255743
135	0.2803296546
136	0.280191049
137	0.2800523219
138	0.2797291419
139	0.2795819554
140	0.2794155524
141	0.2789723174
142	0.2787694746
143	0.2784806881
144	0.2783622566
145	0.2780707077
146	0.2779609648
147	0.2779153439
148	0.2778366622
149	0.2777408583
150	0.277275866
151	0.2771606388
152	0.277104267
153	0.2769259315
154	0.276800986
155	0.2762262833
156	0.2761100473
157	0.2759681569
158	0.275874824
159	0.2757685556
160	0.2753947636
161	0.2750503121
162	0.2748929256
163	0.2748466965
164	0.2747012712
165	0.2745460669
166	0.2744233194
167	0.2742892883
168	0.2742475399
169	0.274017251
170	0.273921647
171	0.2737532054
172	0.2736492376
173	0.2736281811
174	0.2735817706
175	0.2735477366
176	0.2734836973
177	0.2733709954
178	0.2732660193
179	0.2732239034
180	0.2729810022
181	0.2727205786
182	0.2726863985
183	0.2726784395
184	0.2726741977
185	0.2725636697
186	0.2724877065
187	0.2724518804
188	0.2723316042
189	0.272291964
190	0.2721553015
191	0.272114632
192	0.2719924564
193	0.2719840496
194	0.2719711997
195	0.271883288
196	0.2717805403
197	0.2716662362
198	0.2716639839
199	0.2715842139
