iter	Passed	Remaining
0	67	13526
1	153	15239
2	225	14808
3	298	14642
4	350	13673
5	433	14008
6	484	13361
7	538	12920
8	591	12543
9	646	12276
10	705	12113
11	764	11981
12	828	11913
13	900	11958
14	954	11775
15	1011	11636
16	1095	11796
17	1158	11713
18	1229	11714
19	1358	12229
20	1420	12104
21	1462	11834
22	1520	11701
23	1594	11690
24	1665	11656
25	1734	11604
26	1811	11608
27	1896	11646
28	1974	11643
29	2053	11638
30	2134	11639
31	2224	11680
32	2328	11783
33	2400	11718
34	2467	11634
35	2530	11527
36	2612	11511
37	2689	11466
38	2740	11313
39	2809	11236
40	2893	11220
41	2966	11158
42	3024	11043
43	3113	11037
44	3164	10898
45	3225	10796
46	3301	10746
47	3372	10678
48	3449	10631
49	3530	10591
50	3632	10612
51	3723	10598
52	3811	10571
53	3889	10516
54	3946	10405
55	4035	10377
56	4087	10254
57	4160	10185
58	4221	10089
59	4280	9988
60	4332	9871
61	4389	9769
62	4476	9734
63	4539	9646
64	4608	9571
65	4679	9500
66	4743	9416
67	4797	9313
68	4864	9235
69	4946	9185
70	5016	9115
71	5108	9081
72	5171	8996
73	5248	8936
74	5369	8948
75	5457	8904
76	5554	8872
77	5645	8829
78	5732	8779
79	5817	8725
80	5899	8667
81	5996	8629
82	6093	8589
83	6179	8533
84	6262	8472
85	6340	8405
86	6425	8345
87	6499	8272
88	6578	8204
89	6646	8123
90	6726	8056
91	6804	7987
92	6885	7922
93	6942	7828
94	7016	7754
95	7094	7685
96	7171	7615
97	7261	7557
98	7342	7491
99	7425	7425
100	7516	7367
101	7600	7302
102	7683	7236
103	7774	7176
104	7852	7104
105	7933	7035
106	8020	6971
107	8102	6901
108	8187	6835
109	8270	6766
110	8353	6698
111	8433	6626
112	8510	6552
113	8591	6481
114	8678	6414
115	8776	6355
116	8828	6263
117	8903	6186
118	8994	6122
119	9095	6063
120	9162	5982
121	9217	5893
122	9266	5800
123	9321	5713
124	9399	5639
125	9455	5553
126	9519	5471
127	9567	5381
128	9620	5294
129	9680	5212
130	9750	5136
131	9804	5050
132	9863	4968
133	9918	4885
134	9973	4801
135	10024	4717
136	10087	4638
137	10162	4565
138	10221	4485
139	10336	4429
140	10439	4368
141	10528	4300
142	10621	4233
143	10707	4163
144	10797	4095
145	10876	4022
146	10975	3957
147	11047	3881
148	11125	3808
149	11214	3738
150	11288	3663
151	11370	3590
152	11433	3512
153	11514	3439
154	11590	3365
155	11674	3292
156	11747	3217
157	11826	3143
158	11888	3065
159	11954	2988
160	12025	2912
161	12095	2837
162	12162	2760
163	12242	2687
164	12335	2616
165	12413	2542
166	12493	2468
167	12586	2397
168	12658	2321
169	12729	2246
170	12798	2170
171	12873	2095
172	12940	2019
173	13016	1945
174	13103	1871
175	13185	1798
176	13275	1725
177	13357	1650
178	13440	1576
179	13533	1503
180	13620	1429
181	13698	1354
182	13776	1279
183	15801	1374
184	16082	1304
185	17506	1317
186	17713	1231
187	17952	1145
188	18235	1061
189	18692	983
190	19015	896
191	19579	815
192	19891	721
193	20194	624
194	22157	568
195	23490	479
196	23673	360
197	23771	240
198	23881	120
199	23959	0
